Asia,Europe,North America,South America,Africa,Oceania
Afghanistan,Russian Federation,United States,Brazil,Nigeria,Australia
Bahrain,Germany,Mexico,Colombia,Ethiopia,Papua New Guinea
Bangladesh,Turkey,Canada,Argentina,Egypt,New Zealand
Bhutan,United Kingdom,Guatemala,Peru,Democratic Republic of the Congo,Fiji
Brunei,France,Cuba,Venezuela,South Africa,Solomon Islands
Burma,Italy,Haiti,Chile,Tanzania,Vanuatu
Cambodia,Spain,Dominican Republic,Ecuador,Kenya,New Caledonia (France)
China,Ukraine,Honduras,Bolivia,Algeria,French Polynesia (France)
Hong Kong,Poland,Nicaragua,Paraguay,Sudan,Samoa
India,Romania,El Salvador,Uruguay,Uganda,Guam (US)
Indonesia,Kazakhstan,Costa Rica,Guyana,Morocco,Kiribati
Iran,Netherlands,Panama,Suriname,Ghana,Tonga
Iraq,Belgium,Puerto Rico (US)[5],French Guiana,Mozambique,Nauru
Israel,Greece,Jamaica,Falkland Islands,Angola,Marshall Islands
Japan,Czech Republic,Trinidad and Tobago,,Ivory Coast,American Samoa (US)
Jordan,Portugal,Guadeloupe (France),,Madagascar,Northern Mariana Islands (US)
Kazakhstan,Hungary,Martinique (France),,Cameroon,Palau
Kuwait,Sweden,Bahamas,,Niger,Cook Islands (NZ)
Kyrgyzstan,Azerbaijan,Belize,,Burkina Faso,Tuvalu
Laos,Belarus,Barbados,,Mali,Wallis and Futuna (France)
Lebanon,Austria,Saint Lucia,,Malawi,Nauru
Malaysia,Switzerland,Curaçao (Kingdom of the Netherlands),,Zambia,Norfolk Island (Australia)
Maldives,Bulgaria,Aruba (Kingdom of the Netherlands),,Senegal,Niue (NZ)
Mongolia,Serbia,Saint Vincent and the Grenadines,,Chad,Tokelau (NZ)
Nepal,Denmark,United States Virgin Islands (US),,Zimbabwe,Pitcairn Islands (UK)
North Korea,Finland,Grenada,,Sudan,
Oman,Slovakia,Antigua and Barbuda,,Rwanda,
Pakistan,Norway,Dominica,,Tunisia,
Philippines,Ireland,Bermuda (UK),,Somalia,
Qatar,Georgia,Cayman Islands (UK),,Guinea,
Saudi Arabia,Croatia,Greenland (Denmark),,Benin,
Singapore,Moldova,Saint Kitts and Nevis,,Burundi,
South Korea,Bosnia and Herzegovina,Sint Maarten (Kingdom of the Netherlands),,Togo,
Sri Lanka,Armenia,Turks and Caicos Islands (UK),,Eritrea,
Syria,Lithuania,Saint Martin (France),,Libya,
Taiwan,Albania,British Virgin Islands (UK),,Sierra Leone,
Tajikistan,Macedonia,Caribbean Netherlands (Kingdom of the Netherlands),,Central African Republic,
Thailand,Slovenia,Anguilla (UK),,Republic of the Congo,
Timor-Leste,Latvia,Saint Barthélemy (France),,Liberia,
Turkmenistan,Kosovo[7],Saint Pierre and Miquelon (France),,Mauritania,
United Arab Emirates,Estonia,Montserrat (UK),,Gabon,
Uzbekistan,Cyprus,,,Namibia,
Vietnam,Montenegro,,,Botswana,
Yemen,Luxembourg,,,Gambia,
Myanmar,Malta,,,Equatorial Guinea,
Iceland,,Greenland,Lesotho,
,Jersey (UK),,,Guinea-Bissau,
,Isle of Man (UK),,,Mauritius,
,Andorra,,,Swaziland,
,Guernsey (UK),,,Djibouti,
,Faroe Islands (Denmark),,,Réunion (France),
,Liechtenstein,,,Comoros,
,Monaco,,,Western Sahara,
,Gibraltar (UK)[8],,,Cape Verde,
,San Marino,,,Mayotte (France),
,Åland Islands (Finland),,,São Tomé and Príncipe,
,Svalbard and Jan Mayen (Norway),,,Seychelles,
,Vatican City,,,"Saint Helena, Ascension and Tristan da Cunha(UK)"